Data	etched_(Thermal_SiO2)_15sec_2
Recipe	SINGH
Site Name	
Points	1719
X-Resolution	0.399884
X-Coord	-1715.83
Y-Coord	248.05
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	   -102184	         0	  -59.3678	  -59.3678	  -59.3678
2	   -102305	  -121.383	  -77.7639	  -77.7639	  -77.7639
3	   -102317	  -133.305	  -91.0481	  -91.0481	  -91.0481
4	   -102221	  -36.8438	   -100.09	   -100.09	   -100.09
5	   -102286	  -101.875	  -116.587	  -116.587	  -116.587
6	   -102378	      -194	  -136.732	  -136.732	  -136.732
7	   -102332	  -148.477	  -152.626	  -152.626	  -152.626
8	   -102284	  -99.7031	  -175.603	  -175.603	  -175.603
9	   -102395	  -211.336	  -212.684	  -212.684	  -212.684
10	   -102534	  -350.063	  -241.213	  -241.213	  -241.213
11	   -102453	  -268.781	  -244.919	  -244.919	  -244.919
12	   -102281	  -97.5391	  -249.989	  -249.989	  -249.989
13	   -102469	  -285.039	  -278.414	  -278.414	  -278.414
14	   -102651	  -467.117	  -300.822	  -300.822	  -300.822
15	   -102462	  -278.531	  -293.438	  -293.438	  -293.438
16	   -102306	  -122.469	  -292.188	  -292.188	  -292.188
17	   -102503	  -318.633	  -328.607	  -328.607	  -328.607
18	   -102728	  -544.063	  -370.145	  -370.145	  -370.145
19	   -102545	  -360.906	  -382.363	  -382.363	  -382.363
20	   -102448	  -264.445	  -387.303	  -387.303	  -387.303
21	   -102640	  -456.273	  -410.283	  -410.283	  -410.283
22	   -102680	  -496.375	  -436.658	  -436.658	  -436.658
23	   -102602	  -418.344	  -454.424	  -454.424	  -454.424
24	   -102601	  -417.258	  -476.013	  -476.013	  -476.013
25	   -102747	   -563.57	  -501.303	  -501.303	  -501.303
26	   -102769	   -585.25	  -513.207	  -513.207	  -513.207
27	   -102594	  -409.672	  -517.484	  -517.484	  -517.484
28	   -102691	  -507.219	  -533.656	  -533.656	  -533.656
29	   -102860	  -676.289	  -552.438	  -552.438	  -552.438
30	   -102707	  -523.477	  -560.122	  -560.122	  -560.122
