Data	etched_(PECVD_SiO2)_20sec
Recipe	SINGH
Site Name	
Points	3356
X-Resolution	0.400000
X-Coord	-5106.42
Y-Coord	1020.80
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
93	  -85066.4	  -1501.06	  -1417.67	  -1417.67	  -1417.67
94	  -84915.7	  -1350.41	  -1398.54	  -1398.54	  -1398.54
95	  -84851.8	  -1286.47	  -1394.66	  -1394.66	  -1394.66
96	  -85002.4	  -1437.12	   -1420.8	   -1420.8	   -1420.8
97	  -85117.3	     -1552	  -1448.27	  -1448.27	  -1448.27
98	  -84995.9	  -1430.62	   -1456.5	   -1456.5	   -1456.5
99	  -84960.2	  -1394.85	  -1463.15	  -1463.15	  -1463.15
100	    -85061	  -1495.64	  -1484.12	  -1484.12	  -1484.12
101	  -85123.8	   -1558.5	  -1504.39	  -1504.39	  -1504.39
102	  -85089.1	  -1523.82	  -1504.73	  -1504.73	  -1504.73
103	  -85052.3	  -1486.98	  -1490.92	  -1490.92	  -1490.92
104	  -84994.8	  -1429.53	   -1488.8	   -1488.8	   -1488.8
105	  -85014.4	  -1449.04	  -1515.04	  -1515.04	  -1515.04
106	  -85193.2	  -1627.87	  -1547.52	  -1547.52	  -1547.52
107	  -85260.4	  -1695.06	  -1544.03	  -1544.03	  -1544.03
108	  -84994.8	  -1429.53	  -1511.29	  -1511.29	  -1511.29
109	  -84858.3	  -1292.98	   -1511.1	   -1511.1	   -1511.1
110	  -85189.9	  -1624.62	   -1563.1	   -1563.1	   -1563.1
111	  -85369.8	  -1804.52	  -1607.67	  -1607.67	  -1607.67
112	  -85156.3	  -1591.02	  -1610.26	  -1610.26	  -1610.26
113	  -84951.5	  -1386.18	  -1619.58	  -1619.58	  -1619.58
114	  -85276.6	  -1711.32	  -1666.96	  -1666.96	  -1666.96
115	  -85523.7	  -1958.43	  -1699.98	  -1699.98	  -1699.98
116	  -85185.6	  -1620.28	   -1686.6	   -1686.6	   -1686.6
117	  -85016.5	  -1451.21	  -1685.57	  -1685.57	  -1685.57
118	  -85311.3	     -1746	  -1735.34	  -1735.34	  -1735.34
119	  -85628.9	  -2063.55	  -1776.22	  -1776.22	  -1776.22
120	  -85297.2	  -1731.91	  -1761.99	  -1761.99	  -1761.99
121	  -85055.5	  -1490.23	  -1747.86	  -1747.86	  -1747.86
122	  -85386.1	  -1820.78	  -1786.55	  -1786.55	  -1786.55
123	  -85554.1	  -1988.77	  -1837.32	  -1837.32	  -1837.32
124	  -85447.9	  -1882.56	  -1845.36	  -1845.36	  -1845.36
125	  -85316.7	  -1751.42	  -1824.71	  -1824.71	  -1824.71
126	  -85327.6	  -1762.26	  -1819.44	  -1819.44	  -1819.44
127	  -85429.4	  -1864.13	  -1837.89	  -1837.89	  -1837.89
