Data	etched_(Thermal_SiO2)_20sec
Recipe	SINGH
Site Name	
Points	1646
X-Resolution	0.400000
X-Coord	7943.86
Y-Coord	-4734.35
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
93	   -400437	  -2481.91	  -2538.79	  -2538.79	  -2538.79
94	   -400409	  -2453.72	  -2555.72	  -2555.72	  -2555.72
95	   -400580	  -2624.97	  -2601.26	  -2601.26	  -2601.26
96	   -400705	  -2749.59	  -2645.25	  -2645.25	  -2645.25
97	   -400590	  -2634.72	  -2668.64	  -2668.64	  -2668.64
98	   -400584	  -2629.28	  -2688.49	  -2688.49	  -2688.49
99	   -400707	  -2751.75	   -2717.7	   -2717.7	   -2717.7
100	   -400734	  -2778.84	  -2745.18	  -2745.18	  -2745.18
101	   -400699	  -2744.19	  -2764.59	  -2764.59	  -2764.59
102	   -400717	  -2761.53	  -2785.78	  -2785.78	  -2785.78
103	   -400779	  -2824.38	  -2815.81	  -2815.81	  -2815.81
104	   -400799	  -2843.88	  -2850.65	  -2850.65	  -2850.65
105	   -400850	  -2894.81	  -2882.47	  -2882.47	  -2882.47
106	   -400894	  -2939.25	  -2906.66	  -2906.66	  -2906.66
107	   -400843	  -2888.31	  -2929.21	  -2929.21	  -2929.21
108	   -400884	  -2928.41	  -2960.61	  -2960.61	  -2960.61
109	   -401004	  -3048.72	  -2996.47	  -2996.47	  -2996.47
110	   -400998	  -3043.31	  -3023.78	  -3023.78	  -3023.78
111	   -400957	  -3002.13	  -3044.85	  -3044.85	  -3044.85
112	   -401024	  -3069.31	  -3070.92	  -3070.92	  -3070.92
113	   -401075	  -3120.25	  -3101.79	  -3101.79	  -3101.79
114	   -401083	  -3127.84	   -3130.7	   -3130.7	   -3130.7
115	   -401111	  -3156.03	  -3156.54	  -3156.54	  -3156.54
116	   -401139	  -3184.19	  -3182.12	  -3182.12	  -3182.12
117	   -401154	  -3199.38	  -3210.11	  -3210.11	  -3210.11
118	   -401192	  -3237.31	  -3241.47	  -3241.47	  -3241.47
119	   -401239	  -3283.91	  -3273.01	  -3273.01	  -3273.01
120	   -401269	  -3314.25	  -3299.68	  -3299.68	  -3299.68
121	   -401266	     -3311	  -3319.81	  -3319.81	  -3319.81
122	   -401305	  -3350.03	  -3334.76	  -3334.76	  -3334.76
123	   -401311	  -3355.44	  -3349.65	  -3349.65	  -3349.65
124	   -401266	     -3311	  -3378.09	  -3378.09	  -3378.09
125	   -401345	  -3390.13	  -3427.03	  -3427.03	  -3427.03
126	   -401541	  -3586.28	  -3474.61	  -3474.61	  -3474.61
127	   -401492	  -3536.44	  -3495.89	  -3495.89	  -3495.89
128	   -401366	  -3410.72	  -3506.08	  -3506.08	  -3506.08
129	   -401438	  -3483.31	  -3535.25	  -3535.25	  -3535.25
130	   -401626	  -3670.81	  -3574.52	  -3574.52	  -3574.52
131	   -401608	  -3652.41	  -3596.73	  -3596.73	  -3596.73
132	   -401448	  -3493.09	  -3611.85	  -3611.85	  -3611.85
133	   -401570	  -3614.47	  -3646.11	  -3646.11	  -3646.11
134	   -401744	  -3788.97	  -3685.78	  -3685.78	  -3685.78
135	   -401716	  -3760.78	  -3701.31	  -3701.31	  -3701.31
136	   -401561	  -3605.78	   -3709.2	   -3709.2	   -3709.2
137	   -401574	  -3618.81	  -3749.81	  -3749.81	  -3749.81
138	   -401915	  -3960.19	  -3813.61	  -3813.61	  -3813.61
139	   -401904	  -3949.38	  -3856.75	  -3856.75	  -3856.75
140	   -401676	  -3720.69	  -3880.08	  -3880.08	  -3880.08
141	   -401875	  -3920.09	  -3909.98	  -3909.98	  -3909.98
142	   -402051	  -4095.69	  -3933.52	  -3933.52	  -3933.52
143	   -401829	   -3873.5	     -3939	     -3939	     -3939
144	   -401757	  -3801.97	  -3960.37	  -3960.37	  -3960.37
145	   -402032	  -4077.25	  -4011.72	  -4011.72	  -4011.72
146	   -402160	  -4205.13	  -4052.53	  -4052.53	  -4052.53
147	   -401947	  -3991.63	  -4064.02	  -4064.02	  -4064.02
148	   -401919	  -3963.44	  -4079.26	  -4079.26	  -4079.26
149	   -402159	  -4204.06	  -4110.98	  -4110.98	  -4110.98
150	   -402171	  -4215.97	  -4133.83	  -4133.83	  -4133.83
151	   -401986	  -4030.66	   -4150.4	   -4150.4	   -4150.4
152	   -402057	  -4102.19	  -4188.81	  -4188.81	  -4188.81
153	   -402362	  -4406.72	  -4235.62	  -4235.62	  -4235.62
154	   -402249	     -4294	   -4257.6	   -4257.6	   -4257.6
155	   -402062	   -4106.5	  -4271.29	  -4271.29	  -4271.29
156	   -402276	  -4321.09	  -4307.44	  -4307.44	  -4307.44
157	   -402423	  -4467.41	  -4349.25	  -4349.25	  -4349.25
158	   -402297	  -4341.69	  -4373.89	  -4373.89	  -4373.89
159	   -402273	  -4317.84	   -4397.3	   -4397.3	   -4397.3
160	   -402420	  -4465.25	  -4433.55	  -4433.55	  -4433.55
161	   -402488	  -4532.44	  -4466.95	  -4466.95	  -4466.95
162	   -402415	  -4459.84	  -4489.84	  -4489.84	  -4489.84
163	   -402400	  -4444.66	  -4520.64	  -4520.64	  -4520.64
164	   -402553	  -4597.47	  -4565.62	  -4565.62	  -4565.62
165	   -402635	  -4679.84	  -4601.96	  -4601.96	  -4601.96
166	   -402563	  -4608.31	  -4615.64	  -4615.64	  -4615.64
167	   -402531	  -4575.81	  -4624.28	  -4624.28	  -4624.28
168	   -402581	  -4625.66	  -4647.35	  -4647.35	  -4647.35
169	   -402662	  -4706.94	  -4672.06	  -4672.06	  -4672.06
170	   -402711	  -4755.72	  -4651.19	  -4651.19	  -4651.19
171	   -402697	  -4741.63	  -4529.91	  -4529.91	  -4529.91
172	   -402330	  -4375.28	  -4293.71	  -4293.71	  -4293.71
173	   -401870	  -3914.69	  -3994.19	  -3994.19	  -3994.19
174	   -401596	  -3640.47	  -3708.65	  -3708.65	  -3708.65
175	   -401361	  -3406.38	  -3487.49	  -3487.49	  -3487.49
176	   -401195	  -3239.47	  -3348.83	  -3348.83	  -3348.83
177	   -401175	  -3219.97	  -3285.31	  -3285.31	  -3285.31
178	   -401266	     -3311	  -3261.27	  -3261.27	  -3261.27
179	   -401254	  -3299.09	  -3237.88	  -3237.88	  -3237.88
180	   -401074	  -3119.16	  -3213.49	  -3213.49	  -3213.49
181	   -401111	  -3156.03	  -3209.36	  -3209.36	  -3209.36
182	   -401261	  -3305.59	  -3221.11	  -3221.11	  -3221.11
183	   -401186	  -3230.81	  -3228.09	  -3228.09	  -3228.09
184	   -401121	  -3165.78	  -3231.81	  -3231.81	  -3231.81
185	   -401230	  -3275.25	   -3242.9	   -3242.9	   -3242.9
186	   -401225	  -3269.81	  -3259.77	  -3259.77	  -3259.77
187	   -401185	  -3229.72	  -3281.95	  -3281.95	  -3281.95
188	   -401277	  -3321.84	  -3309.93	  -3309.93	  -3309.93
189	   -401351	  -3395.53	   -3333.7	   -3333.7	   -3333.7
190	   -401273	   -3317.5	  -3352.71	  -3352.71	  -3352.71
191	   -401254	  -3299.09	  -3387.41	  -3387.41	  -3387.41
192	   -401427	  -3471.41	  -3447.19	  -3447.19	  -3447.19
193	   -401519	  -3563.53	  -3523.37	  -3523.37	  -3523.37
194	   -401488	  -3533.19	  -3640.01	  -3640.01	  -3640.01
195	   -401473	     -3518	  -3855.73	  -3855.73	  -3855.73
196	   -402191	  -4235.47	  -4152.79	  -4152.79	  -4152.79
197	   -402809	  -4854.34	  -4385.89	  -4385.89	  -4385.89
198	   -402549	  -4594.22	  -4436.06	  -4436.06	  -4436.06
199	   -402166	  -4210.56	  -4345.97	  -4345.97	  -4345.97
200	   -402173	  -4218.16	  -4226.45	  -4226.45	  -4226.45
201	   -402106	  -4150.94	  -4125.66	  -4125.66	  -4125.66
202	   -401951	  -3995.97	  -4044.89	  -4044.89	  -4044.89
203	   -401894	  -3938.53	  -3990.23	  -3990.23	  -3990.23
204	   -401903	  -3948.28	  -3963.09	  -3963.09	  -3963.09
205	   -401945	  -3989.47	   -3945.7	   -3945.7	   -3945.7
206	   -401898	  -3942.84	  -3923.68	  -3923.68	  -3923.68
207	   -401774	  -3819.31	  -3907.91	  -3907.91	  -3907.91
208	   -401854	  -3898.44	  -3912.16	  -3912.16	  -3912.16
209	   -401956	  -4001.38	  -3925.28	  -3925.28	  -3925.28
210	   -401858	  -3902.75	  -3934.24	  -3934.24	  -3934.24
211	   -401847	  -3891.91	  -3948.38	  -3948.38	  -3948.38
212	   -401964	  -4008.97	  -3975.81	  -3975.81	  -3975.81
213	   -401961	  -4005.72	  -4007.92	  -4007.92	  -4007.92
214	   -401991	  -4036.06	  -4036.41	  -4036.41	  -4036.41
215	   -402033	  -4078.34	  -4061.65	  -4061.65	  -4061.65
216	   -402014	  -4058.81	  -4089.77	  -4089.77	  -4089.77
217	   -402071	  -4116.28	  -4129.63	  -4129.63	  -4129.63
218	   -402118	  -4162.88	  -4187.76	  -4187.76	  -4187.76
219	   -402221	  -4265.84	  -4275.72	  -4275.72	  -4275.72
220	   -402231	  -4275.59	   -4423.7	   -4423.7	   -4423.7
221	   -402426	  -4470.66	  -4649.99	  -4649.99	  -4649.99
222	   -403094	  -5139.38	  -4892.21	  -4892.21	  -4892.21
223	   -403274	  -5319.28	  -5031.04	  -5031.04	  -5031.04
224	   -403008	  -5052.66	  -5017.23	  -5017.23	  -5017.23
225	   -402858	  -4903.09	  -4911.59	  -4911.59	  -4911.59
226	   -402666	  -4711.28	  -4800.37	  -4800.37	  -4800.37
227	   -402641	  -4686.34	  -4724.81	  -4724.81	  -4724.81
228	   -402661	  -4705.84	  -4676.72	  -4676.72	  -4676.72
229	   -402613	  -4658.16	  -4635.26	  -4635.26	  -4635.26
230	   -402491	  -4535.69	  -4602.89	  -4602.89	  -4602.89
231	   -402491	  -4535.69	  -4594.06	  -4594.06	  -4594.06
232	   -402628	  -4673.34	  -4599.73	  -4599.73	  -4599.73
233	   -402587	  -4632.16	  -4598.97	  -4598.97	  -4598.97
234	   -402460	  -4505.34	   -4599.2	   -4599.2	   -4599.2
235	   -402541	  -4585.56	  -4621.57	  -4621.57	  -4621.57
236	   -402678	  -4723.19	  -4657.84	  -4657.84	  -4657.84
237	   -402675	  -4719.94	  -4684.78	  -4684.78	  -4684.78
238	   -402589	  -4634.31	  -4704.75	  -4704.75	  -4704.75
239	   -402674	  -4718.84	  -4731.78	  -4731.78	  -4731.78
240	   -402798	  -4842.41	  -4757.43	  -4757.43	  -4757.43
241	   -402721	  -4765.47	  -4771.24	  -4771.24	  -4771.24
242	   -402658	  -4702.59	  -4793.58	  -4793.58	  -4793.58
243	   -402753	  -4797.97	  -4851.33	  -4851.33	  -4851.33
244	   -402960	  -5004.97	  -4951.63	  -4951.63	  -4951.63
245	   -402911	  -4956.22	  -5115.06	  -5115.06	  -5115.06
246	   -403023	  -5067.84	  -5370.27	  -5370.27	  -5370.27
247	   -403942	  -5986.91	  -5651.43	  -5651.43	  -5651.43
248	   -404154	  -6199.34	   -5803.5	   -5803.5	   -5803.5
249	   -403759	  -5803.75	   -5764.9	   -5764.9	   -5764.9
250	   -403430	  -5475.34	   -5633.4	   -5633.4	   -5633.4
251	   -403426	  -5471.03	  -5520.07	  -5520.07	  -5520.07
252	   -403465	  -5510.03	  -5442.96	  -5442.96	  -5442.96
253	   -403316	  -5360.47	  -5378.92	  -5378.92	  -5378.92
254	   -403204	  -5248.84	  -5332.01	  -5332.01	  -5332.01
255	   -403240	  -5284.59	  -5314.12	  -5314.12	  -5314.12
256	   -403337	  -5382.16	  -5308.29	  -5308.29	  -5308.29
257	   -403275	  -5320.38	  -5294.14	  -5294.14	  -5294.14
258	   -403122	  -5166.47	  -5285.75	  -5285.75	  -5285.75
259	   -403240	  -5284.59	  -5303.92	  -5303.92	  -5303.92
260	   -403380	  -5424.41	  -5333.51	  -5333.51	  -5333.51
261	   -403306	  -5350.72	  -5350.57	  -5350.57	  -5350.57
262	   -403256	  -5300.88	  -5362.25	  -5362.25	  -5362.25
263	   -403341	  -5385.41	  -5383.75	  -5383.75	  -5383.75
264	   -403410	  -5454.75	  -5408.69	  -5408.69	  -5408.69
265	   -403381	   -5425.5	  -5429.84	  -5429.84	  -5429.84
266	   -403332	  -5376.72	  -5459.33	  -5459.33	  -5459.33
267	   -403480	  -5525.22	  -5503.79	  -5503.79	  -5503.79
268	   -403581	     -5626	  -5552.28	  -5552.28	  -5552.28
269	   -403479	  -5524.13	  -5623.04	  -5623.04	  -5623.04
270	   -403469	  -5514.38	  -5780.35	  -5780.35	  -5780.35
271	   -403890	  -5934.88	  -6042.97	  -6042.97	  -6042.97
272	   -404641	  -6685.97	  -6307.04	  -6307.04	  -6307.04
273	   -404607	  -6652.34	  -6442.48	  -6442.48	  -6442.48
274	   -404307	  -6352.16	  -6433.39	  -6433.39	  -6433.39
275	   -404409	  -6454.03	  -6343.16	  -6343.16	  -6343.16
276	   -404204	  -6249.19	  -6221.48	  -6221.48	  -6221.48
277	   -403913	  -5957.66	  -6112.66	  -6112.66	  -6112.66
278	   -403927	  -5971.72	  -6053.62	  -6053.62	  -6053.62
279	   -404093	  -6137.56	  -6027.37	  -6027.37	  -6027.37
280	   -404006	  -6050.84	  -5994.82	  -5994.82	  -5994.82
281	   -403760	  -5804.81	  -5965.91	  -5965.91	  -5965.91
282	   -403869	  -5914.28	   -5969.2	   -5969.2	   -5969.2
283	   -404122	  -6166.81	  -5981.81	  -5981.81	  -5981.81
284	   -403923	  -5967.41	  -5971.61	  -5971.61	  -5971.61
285	   -403746	  -5790.75	  -5967.37	  -5967.37	  -5967.37
286	   -403937	   -5981.5	  -6005.42	  -6005.42	  -6005.42
287	   -404148	  -6192.81	  -6057.56	  -6057.56	  -6057.56
288	   -404089	  -6134.31	  -6081.29	  -6081.29	  -6081.29
289	   -403910	  -5954.41	  -6092.37	  -6092.37	  -6092.37
290	   -404047	  -6092.03	  -6126.32	  -6126.32	  -6126.32
291	   -404239	  -6283.88	  -6169.38	  -6169.38	  -6169.38
292	   -404195	  -6239.44	  -6189.38	  -6189.38	  -6189.38
293	   -404044	  -6088.78	  -6205.69	  -6205.69	  -6205.69
294	   -404121	  -6165.72	  -6278.62	  -6278.62	  -6278.62
295	   -404290	  -6334.81	  -6448.06	  -6448.06	  -6448.06
296	   -404563	  -6607.94	  -6696.41	  -6696.41	  -6696.41
297	   -405119	  -7163.91	  -6943.32	  -6943.32	  -6943.32
298	   -405250	  -7295.06	  -7094.85	  -7094.85	  -7094.85
299	   -405082	  -7127.06	  -7121.26	  -7121.26	  -7121.26
300	   -405113	  -7157.41	  -7057.43	  -7057.43	  -7057.43
301	   -404893	  -6937.41	  -6953.66	  -6953.66	  -6953.66
302	   -404694	  -6739.06	  -6857.85	  -6857.85	  -6857.85
303	   -404757	  -6801.94	  -6794.52	  -6794.52	  -6794.52
304	   -404754	  -6798.66	  -6752.35	  -6752.35	  -6752.35
305	   -404611	  -6655.63	  -6720.07	  -6720.07	  -6720.07
306	   -404625	  -6669.69	  -6703.84	  -6703.84	  -6703.84
307	   -404700	  -6744.47	   -6701.6	   -6701.6	   -6701.6
308	   -404652	  -6696.78	  -6703.15	  -6703.15	  -6703.15
309	   -404617	  -6662.13	  -6711.42	  -6711.42	  -6711.42
310	   -404686	  -6730.41	  -6731.58	  -6731.58	  -6731.58
311	   -404757	  -6801.94	  -6754.61	  -6754.61	  -6754.61
312	   -404713	   -6757.5	  -6774.88	  -6774.88	  -6774.88
313	   -404693	  -6737.97	   -6803.1	   -6803.1	   -6803.1
314	   -404824	  -6869.13	  -6841.18	  -6841.18	  -6841.18
315	   -404909	  -6953.66	  -6871.03	  -6871.03	  -6871.03
316	   -404792	  -6836.59	  -6888.76	  -6888.76	  -6888.76
317	   -404799	  -6844.19	   -6915.7	   -6915.7	   -6915.7
318	   -404969	  -7014.34	  -6963.05	  -6963.05	  -6963.05
319	   -404973	  -7017.59	  -7035.55	  -7035.55	  -7035.55
320	   -404929	  -6974.25	  -7172.37	  -7172.37	  -7172.37
321	   -405144	  -7188.84	  -7408.42	  -7408.42	  -7408.42
322	   -405908	  -7952.91	  -7677.39	  -7677.39	  -7677.39
323	   -406118	  -8163.19	  -7842.62	  -7842.62	  -7842.62
324	   -405801	  -7845.63	  -7850.37	  -7850.37	  -7850.37
325	   -405700	  -7744.84	  -7763.28	  -7763.28	  -7763.28
326	   -405640	  -7685.22	  -7655.36	  -7655.36	  -7655.36
327	   -405450	  -7494.47	  -7564.55	  -7564.55	  -7564.55
328	   -405372	  -7416.44	  -7509.35	  -7509.35	  -7509.35
329	   -405509	  -7554.09	   -7480.9	   -7480.9	   -7480.9
330	   -405445	  -7490.13	  -7453.48	  -7453.48	  -7453.48
331	   -405295	   -7339.5	   -7428.4	   -7428.4	   -7428.4
332	   -405336	  -7380.66	  -7427.06	  -7427.06	  -7427.06
333	   -405450	  -7494.47	  -7445.35	  -7445.35	  -7445.35
334	   -405448	  -7493.38	  -7457.82	  -7457.82	  -7457.82
335	   -405388	  -7432.69	  -7455.24	  -7455.24	  -7455.24
336	   -405413	  -7457.63	  -7449.76	  -7449.76	  -7449.76
337	   -405376	  -7420.78	  -7459.33	  -7459.33	  -7459.33
338	   -405372	  -7416.44	  -7495.62	  -7495.62	  -7495.62
339	   -405562	  -7607.19	  -7544.72	  -7544.72	  -7544.72
340	   -405636	  -7680.88	  -7572.85	  -7572.85	  -7572.85
341	   -405479	  -7523.72	  -7575.82	  -7575.82	  -7575.82
342	   -405441	  -7485.81	  -7591.65	  -7591.65	  -7591.65
343	   -405602	  -7647.28	  -7650.61	  -7650.61	  -7650.61
344	   -405709	   -7753.5	   -7762.5	   -7762.5	   -7762.5
345	   -405667	  -7712.31	  -7952.18	  -7952.18	  -7952.18
346	   -406072	  -8116.56	  -8222.21	  -8222.21	  -8222.21
347	   -406810	  -8854.63	  -8474.35	  -8474.35	  -8474.35
348	   -406792	  -8837.31	  -8575.83	  -8575.83	  -8575.83
349	   -406469	  -8514.31	   -8510.8	   -8510.8	   -8510.8
350	   -406241	  -8285.66	  -8380.79	  -8380.79	  -8380.79
351	   -406158	  -8203.28	  -8281.56	  -8281.56	  -8281.56
352	   -406152	  -8196.78	  -8234.72	  -8234.72	  -8234.72
353	   -406231	  -8275.88	  -8206.92	  -8206.92	  -8206.92
354	   -406183	  -8228.22	  -8165.72	  -8165.72	  -8165.72
355	   -405962	  -8007.09	  -8123.17	  -8123.17	  -8123.17
356	   -405993	  -8037.47	  -8112.17	  -8112.17	  -8112.17
357	   -406156	  -8201.09	  -8127.77	  -8127.77	  -8127.77
358	   -406152	  -8196.78	  -8137.23	  -8137.23	  -8137.23
359	   -406014	  -8059.13	  -8137.89	  -8137.89	  -8137.89
360	   -406053	  -8098.16	  -8152.08	  -8152.08	  -8152.08
361	   -406215	  -8259.63	   -8176.7	   -8176.7	   -8176.7
362	   -406176	  -8220.63	  -8191.07	  -8191.07	  -8191.07
363	   -406080	  -8125.25	  -8202.68	  -8202.68	  -8202.68
364	   -406136	  -8180.53	  -8234.84	  -8234.84	  -8234.84
365	   -406304	   -8348.5	  -8279.42	  -8279.42	  -8279.42
366	   -406333	  -8377.78	  -8307.08	  -8307.08	  -8307.08
367	   -406224	  -8269.38	  -8321.78	  -8321.78	  -8321.78
368	   -406183	  -8228.22	  -8366.72	  -8366.72	  -8366.72
369	   -406422	  -8466.63	  -8475.89	  -8475.89	  -8475.89
370	   -406541	  -8585.84	  -8658.54	  -8658.54	  -8658.54
371	   -406668	  -8712.66	  -8910.23	  -8910.23	  -8910.23
372	   -407332	  -9377.03	  -9172.44	  -9172.44	  -9172.44
373	   -407618	  -9663.16	  -9327.23	  -9327.23	  -9327.23
374	   -407374	  -9419.31	  -9311.91	  -9311.91	  -9311.91
375	   -407079	  -9123.44	  -9191.55	  -9191.55	  -9191.55
376	   -406874	  -8918.59	  -9077.29	  -9077.29	  -9077.29
377	   -406987	  -9032.38	  -9013.88	  -9013.88	  -9013.88
378	   -407005	  -9049.72	  -8971.51	  -8971.51	  -8971.51
379	   -406851	  -8895.81	  -8921.85	  -8921.85	  -8921.85
380	   -406766	  -8811.28	   -8875.1	   -8875.1	   -8875.1
381	   -406826	  -8870.91	  -8846.11	  -8846.11	  -8846.11
382	   -406772	  -8816.72	  -8835.03	  -8835.03	  -8835.03
383	   -406733	  -8777.69	  -8841.46	  -8841.46	  -8841.46
384	   -406854	  -8899.06	   -8858.5	   -8858.5	   -8858.5
385	   -406883	  -8928.34	  -8868.67	  -8868.67	  -8868.67
386	   -406769	  -8813.47	  -8871.83	  -8871.83	  -8871.83
387	   -406787	  -8831.88	  -8887.17	  -8887.17	  -8887.17
388	   -406918	  -8963.03	   -8916.1	   -8916.1	   -8916.1
389	   -406944	  -8989.03	  -8941.74	  -8941.74	  -8941.74
390	   -406841	  -8886.06	  -8966.25	  -8966.25	  -8966.25
391	   -406924	  -8968.44	  -9004.57	  -9004.57	  -9004.57
392	   -407095	  -9139.69	  -9045.62	  -9045.62	  -9045.62
393	   -407058	  -9102.84	  -9069.48	  -9069.48	  -9069.48
394	   -406953	  -8997.69	  -9099.17	  -9099.17	  -9099.17
395	   -407005	  -9049.72	  -9194.89	  -9194.89	  -9194.89
396	   -407221	  -9265.41	  -9395.14	  -9395.14	  -9395.14
397	   -407590	  -9634.97	  -9667.49	  -9667.49	  -9667.49
398	   -408158	  -10202.9	  -9908.73	  -9908.73	  -9908.73
