# Test:	Laser Sweep (sweepLaser)
# User:	memQ
# Settings:
#	Laser:	Santec_TSL570
#	Detector:	Santec_MPM210
#	Sweep speed:	1 nm/s
#	Laser power:	-8 dBm
#	Wavelength step-size:	0.01 nm
#	Start wavelength:	1563 nm
#	Stop wavelength:	1566 nm
#	Stitch count:	0 
#	Init Range:	-15 
#	New sweep plot behavior:	replace
#	Turn off laser when done:	yes
#	Skip sweep if fine align fails:	yes
# Metric Tag, value [, value]
wavelength,1563,1563.01,1563.02,1563.03,1563.04,1563.05,1563.06,1563.07,1563.08,1563.09,1563.1,1563.11,1563.12,1563.13,1563.14,1563.15,1563.16,1563.17,1563.18,1563.19,1563.2,1563.21,1563.22,1563.23,1563.24,1563.25,1563.26,1563.27,1563.28,1563.29,1563.3,1563.31,1563.32,1563.33,1563.34,1563.35,1563.36,1563.37,1563.38,1563.39,1563.4,1563.41,1563.42,1563.43,1563.44,1563.45,1563.46,1563.47,1563.48,1563.49,1563.5,1563.51,1563.52,1563.53,1563.54,1563.55,1563.56,1563.57,1563.58,1563.59,1563.6,1563.61,1563.62,1563.63,1563.64,1563.65,1563.66,1563.67,1563.68,1563.69,1563.7,1563.71,1563.72,1563.73,1563.74,1563.75,1563.76,1563.77,1563.78,1563.79,1563.8,1563.81,1563.82,1563.83,1563.84,1563.85,1563.86,1563.87,1563.88,1563.89,1563.9,1563.91,1563.92,1563.93,1563.94,1563.95,1563.96,1563.97,1563.98,1563.99,1564,1564.01,1564.02,1564.03,1564.04,1564.05,1564.06,1564.07,1564.08,1564.09,1564.1,1564.11,1564.12,1564.13,1564.14,1564.15,1564.16,1564.17,1564.18,1564.19,1564.2,1564.21,1564.22,1564.23,1564.24,1564.25,1564.26,1564.27,1564.28,1564.29,1564.3,1564.31,1564.32,1564.33,1564.34,1564.35,1564.36,1564.37,1564.38,1564.39,1564.4,1564.41,1564.42,1564.43,1564.44,1564.45,1564.46,1564.47,1564.48,1564.49,1564.5,1564.51,1564.52,1564.53,1564.54,1564.55,1564.56,1564.57,1564.58,1564.59,1564.6,1564.61,1564.62,1564.63,1564.64,1564.65,1564.66,1564.67,1564.68,1564.69,1564.7,1564.71,1564.72,1564.73,1564.74,1564.75,1564.76,1564.77,1564.78,1564.79,1564.8,1564.81,1564.82,1564.83,1564.84,1564.85,1564.86,1564.87,1564.88,1564.89,1564.9,1564.91,1564.92,1564.93,1564.94,1564.95,1564.96,1564.97,1564.98,1564.99,1565,1565.01,1565.02,1565.03,1565.04,1565.05,1565.06,1565.07,1565.08,1565.09,1565.1,1565.11,1565.12,1565.13,1565.14,1565.15,1565.16,1565.17,1565.18,1565.19,1565.2,1565.21,1565.22,1565.23,1565.24,1565.25,1565.26,1565.27,1565.28,1565.29,1565.3,1565.31,1565.32,1565.33,1565.34,1565.35,1565.36,1565.37,1565.38,1565.39,1565.4,1565.41,1565.42,1565.43,1565.44,1565.45,1565.46,1565.47,1565.48,1565.49,1565.5,1565.51,1565.52,1565.53,1565.54,1565.55,1565.56,1565.57,1565.58,1565.59,1565.6,1565.61,1565.62,1565.63,1565.64,1565.65,1565.66,1565.67,1565.68,1565.69,1565.7,1565.71,1565.72,1565.73,1565.74,1565.75,1565.76,1565.77,1565.78,1565.79,1565.8,1565.81,1565.82,1565.83,1565.84,1565.85,1565.86,1565.87,1565.88,1565.89,1565.9,1565.91,1565.92,1565.93,1565.94,1565.95,1565.96,1565.97,1565.98,1565.99,1566
channel_1,-46.0317,-45.8526,-46.4592,-46.1286,-43.8862,-45.2621,-43.7305,-43.4059,-43.9082,-42.725,-42.2171,-42.6229,-41.8359,-41.867,-42.0849,-41.6649,-41.877,-41.961,-42.0316,-42.2062,-42.281,-42.515,-42.5433,-42.9105,-43.2878,-43.0759,-43.2558,-43.9753,-43.7533,-43.8808,-44.9917,-44.5444,-44.2973,-45.7325,-45.5871,-45.3457,-45.5406,-45.8926,-45.3606,-45.8355,-45.2452,-45.4274,-45.1715,-44.9578,-45.2742,-46.0376,-45.0822,-45.4757,-45.5103,-45.5619,-45.7366,-46.0527,-45.4665,-45.9582,-45.4762,-44.637,-44.4244,-43.96,-43.4045,-43.174,-42.9406,-42.9788,-42.913,-42.8843,-42.9557,-43.0197,-43.038,-43.1445,-43.0447,-43.1325,-43.3057,-43.2991,-43.3767,-43.8617,-43.4109,-43.6807,-45.661,-45.2808,-46.5981,-46.0504,-46.0879,-46.2332,-44.6641,-45.1367,-44.8622,-44.3049,-44.7032,-44.2113,-43.695,-44.0582,-43.6747,-43.6289,-43.2164,-43.128,-43.0931,-42.8767,-42.8414,-42.8412,-42.6709,-42.6769,-42.5718,-42.6769,-42.6344,-42.8279,-42.8121,-43.0412,-42.8665,-42.7122,-42.358,-42.3556,-42.2347,-42.1433,-41.9745,-41.9819,-41.9679,-41.8223,-41.863,-41.8313,-41.6021,-41.6201,-41.4848,-41.4258,-41.4023,-41.2864,-41.2168,-41.3188,-41.3484,-41.634,-41.824,-41.2101,-41.8677,-41.3318,-41.7204,-42.2443,-41.1213,-42.1847,-41.7022,-41.4729,-41.6446,-41.4618,-40.949,-40.7484,-40.645,-40.6249,-40.6569,-40.7698,-40.6878,-41.2113,-41.2266,-41.1846,-41.1842,-41.3964,-41.0478,-42.06,-41.8972,-41.5807,-43.801,-41.8597,-42.1697,-43.5993,-43.0875,-43.2811,-44.4785,-43.0675,-44.4136,-45.2019,-47.231,-51.9331,-61.5346,-110,-110,-50.8778,-46.1514,-44.269,-43.4074,-42.4325,-41.6233,-41.2659,-41.0111,-40.3641,-40.4351,-40.2595,-40.0975,-39.6972,-39.878,-39.6095,-39.5897,-39.7528,-39.175,-39.2386,-38.9971,-38.9767,-38.7918,-38.7771,-38.5303,-38.4791,-38.3918,-38.3241,-38.3027,-38.2726,-38.243,-38.2045,-38.2134,-38.2907,-38.1644,-38.3122,-38.5333,-38.4916,-39.377,-39.2645,-40.2276,-39.5352,-40.2722,-40.5841,-40.8857,-40.1628,-40.9764,-39.7797,-39.9353,-39.2374,-39.6603,-38.5075,-38.9154,-38.6134,-38.3439,-38.4778,-38.8755,-39.4101,-40.0604,-39.7895,-40.2829,-41.6708,-41.7552,-42.1643,-41.6161,-41.4754,-40.5189,-41.1484,-40.7806,-40.9844,-41.5275,-41.1262,-41.6273,-41.9453,-40.9898,-42.0404,-41.7778,-41.6846,-42.9189,-42.3106,-42.0413,-43.2863,-42.4782,-42.2187,-42.5088,-41.9157,-41.7496,-41.4167,-41.4683,-41.614,-40.988,-41.2217,-41.0137,-41.0047,-41.2575,-41.0767,-41.2333,-41.2681,-41.2501,-41.6216,-41.6675,-41.6474,-42.8711,-42.1927,-42.8479,-44.1211,-43.6302,-43.9389,-45.1578,-44.168,-44.9493,-44.1539,-44.6257,-43.4887,-42.9287,-43.0504,-42.8999,-42.2645,-42.9421,-42.3027,-42.3978,-42.5252,-42.52,-42.5073,-42.5911,-42.5914,-42.7725,-42.7956,-42.9918,-43.0752,-43.0217
channel_2,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_3,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_4,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
