# Test:	Laser Sweep (sweepLaser)
# User:	memQ
# Settings:
#	Laser:	Santec_TSL570
#	Detector:	Santec_MPM210
#	Sweep speed:	1 nm/s
#	Laser power:	-8 dBm
#	Wavelength step-size:	0.01 nm
#	Start wavelength:	1564 nm
#	Stop wavelength:	1567 nm
#	Stitch count:	0 
#	Init Range:	-15 
#	New sweep plot behavior:	replace
#	Turn off laser when done:	yes
#	Skip sweep if fine align fails:	yes
# Metric Tag, value [, value]
wavelength,1564,1564.01,1564.02,1564.03,1564.04,1564.05,1564.06,1564.07,1564.08,1564.09,1564.1,1564.11,1564.12,1564.13,1564.14,1564.15,1564.16,1564.17,1564.18,1564.19,1564.2,1564.21,1564.22,1564.23,1564.24,1564.25,1564.26,1564.27,1564.28,1564.29,1564.3,1564.31,1564.32,1564.33,1564.34,1564.35,1564.36,1564.37,1564.38,1564.39,1564.4,1564.41,1564.42,1564.43,1564.44,1564.45,1564.46,1564.47,1564.48,1564.49,1564.5,1564.51,1564.52,1564.53,1564.54,1564.55,1564.56,1564.57,1564.58,1564.59,1564.6,1564.61,1564.62,1564.63,1564.64,1564.65,1564.66,1564.67,1564.68,1564.69,1564.7,1564.71,1564.72,1564.73,1564.74,1564.75,1564.76,1564.77,1564.78,1564.79,1564.8,1564.81,1564.82,1564.83,1564.84,1564.85,1564.86,1564.87,1564.88,1564.89,1564.9,1564.91,1564.92,1564.93,1564.94,1564.95,1564.96,1564.97,1564.98,1564.99,1565,1565.01,1565.02,1565.03,1565.04,1565.05,1565.06,1565.07,1565.08,1565.09,1565.1,1565.11,1565.12,1565.13,1565.14,1565.15,1565.16,1565.17,1565.18,1565.19,1565.2,1565.21,1565.22,1565.23,1565.24,1565.25,1565.26,1565.27,1565.28,1565.29,1565.3,1565.31,1565.32,1565.33,1565.34,1565.35,1565.36,1565.37,1565.38,1565.39,1565.4,1565.41,1565.42,1565.43,1565.44,1565.45,1565.46,1565.47,1565.48,1565.49,1565.5,1565.51,1565.52,1565.53,1565.54,1565.55,1565.56,1565.57,1565.58,1565.59,1565.6,1565.61,1565.62,1565.63,1565.64,1565.65,1565.66,1565.67,1565.68,1565.69,1565.7,1565.71,1565.72,1565.73,1565.74,1565.75,1565.76,1565.77,1565.78,1565.79,1565.8,1565.81,1565.82,1565.83,1565.84,1565.85,1565.86,1565.87,1565.88,1565.89,1565.9,1565.91,1565.92,1565.93,1565.94,1565.95,1565.96,1565.97,1565.98,1565.99,1566,1566.01,1566.02,1566.03,1566.04,1566.05,1566.06,1566.07,1566.08,1566.09,1566.1,1566.11,1566.12,1566.13,1566.14,1566.15,1566.16,1566.17,1566.18,1566.19,1566.2,1566.21,1566.22,1566.23,1566.24,1566.25,1566.26,1566.27,1566.28,1566.29,1566.3,1566.31,1566.32,1566.33,1566.34,1566.35,1566.36,1566.37,1566.38,1566.39,1566.4,1566.41,1566.42,1566.43,1566.44,1566.45,1566.46,1566.47,1566.48,1566.49,1566.5,1566.51,1566.52,1566.53,1566.54,1566.55,1566.56,1566.57,1566.58,1566.59,1566.6,1566.61,1566.62,1566.63,1566.64,1566.65,1566.66,1566.67,1566.68,1566.69,1566.7,1566.71,1566.72,1566.73,1566.74,1566.75,1566.76,1566.77,1566.78,1566.79,1566.8,1566.81,1566.82,1566.83,1566.84,1566.85,1566.86,1566.87,1566.88,1566.89,1566.9,1566.91,1566.92,1566.93,1566.94,1566.95,1566.96,1566.97,1566.98,1566.99,1567
channel_1,-33.7849,-34.0927,-33.9088,-33.4289,-34.1435,-33.7745,-33.659,-33.267,-33.5872,-33.3262,-33.8436,-32.8179,-33.3731,-33.0518,-32.8731,-33.2856,-32.4784,-32.688,-32.3409,-33.1064,-31.717,-32.8726,-32.1476,-32.0395,-31.9418,-32.2989,-31.713,-31.8317,-31.772,-31.6693,-31.8791,-31.4026,-31.8122,-31.9673,-30.8374,-31.9618,-31.6545,-31.0002,-31.8138,-31.3933,-30.8902,-31.5739,-31.1308,-30.5127,-31.3814,-30.531,-30.6091,-30.8389,-30.7659,-29.8244,-30.7084,-29.8947,-29.8907,-30.6137,-29.8738,-29.3407,-30.5334,-29.9246,-29.7286,-30.1744,-29.6121,-29.3053,-29.9308,-29.2043,-30.0303,-29.0344,-29.2723,-30.167,-28.8915,-29.6496,-29.9915,-28.6001,-29.8211,-29.6119,-29.1117,-29.9479,-30.0453,-28.8036,-30.0931,-30.1096,-29.8805,-29.8234,-30.4219,-30.4262,-29.7672,-31.226,-30.3728,-30.353,-30.7529,-29.4748,-31.1332,-30.8004,-29.6807,-31.0215,-30.568,-30.3193,-31.0652,-30.408,-31.6889,-30.5616,-30.7035,-31.7351,-30.8197,-31.0423,-31.4495,-31.1513,-31.0617,-31.3498,-31.2343,-30.428,-31.9312,-30.7406,-30.7507,-31.9238,-29.993,-31.0605,-30.8956,-30.6644,-31.186,-30.1248,-31.2886,-29.7304,-30.9696,-30.3043,-30.6372,-30.9964,-31.2612,-30.7284,-31.5236,-31.0725,-31.2871,-31.79,-31.5036,-31.904,-32.2119,-32.6849,-32.9947,-32.4548,-33.3434,-33.6981,-33.4128,-34.4961,-34.8577,-35.6271,-37.9983,-39.4929,-42.7272,-48.7785,-54.2792,-42.424,-38.6766,-36.9107,-37.6524,-36.4681,-36.6498,-37.1444,-37.2966,-35.5472,-38.6079,-36.5763,-38.1737,-37.3096,-36.9577,-36.2848,-37.3837,-35.1439,-36.62,-36.0328,-35.6,-35.2439,-36.472,-35.4266,-35.9455,-36.1754,-35.0612,-36.0405,-35.8607,-35.7568,-36.2537,-35.8254,-35.6684,-36.0583,-36.1663,-36.3762,-35.7734,-35.9062,-36.3824,-35.819,-36.063,-36.0784,-36.3813,-35.468,-36.3282,-36.1709,-36.0445,-36.5213,-36.0764,-36.1168,-36.1077,-36.5225,-36.1384,-36.3237,-36.0861,-36.3395,-36.4671,-36.5924,-36.4482,-36.5298,-36.2754,-36.6035,-36.6841,-36.0157,-36.5534,-36.307,-36.0842,-35.9242,-36.3951,-35.8904,-35.8967,-35.8783,-35.8299,-35.86,-35.6122,-35.646,-36.2218,-35.219,-35.7523,-35.6315,-35.5481,-35.3102,-35.9495,-35.198,-35.5107,-34.9332,-35.486,-34.9174,-34.8637,-35.2302,-34.3854,-34.7508,-34.4612,-34.6332,-33.8716,-34.8963,-33.5394,-34.1697,-33.8696,-34.1343,-33.6141,-33.7743,-34.0437,-33.4014,-33.6555,-33.9612,-33.5547,-33.5449,-33.7912,-33.4798,-33.996,-33.051,-34.2678,-32.3044,-33.8664,-33.2641,-33.0515,-33.1427,-33.3173,-32.6226,-33.2814,-32.6408,-33.0115,-32.7564,-32.2827,-32.7906,-32.8307,-32.0787,-32.6476,-32.1916,-32.1641,-32.2313,-31.717,-32.4048,-31.2449,-32.156,-31.8637,-32.0267,-31.2867,-31.8701,-31.4325,-31.8241,-30.9858,-31.9372,-30.9728,-31.6461,-31.4114,-30.9715,-31.1071,-31.3606,-30.9421,-31.2236,-30.7748
channel_2,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_3,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_4,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
